epoch;loss;mean_squared_error;val_loss;val_mean_squared_error
0;268.2112298632145;268.2112298632145;0.29277288126945494;0.29277288126945494
1;362.09087677764893;362.09087677764893;0.3273219974040985;0.3273219974040985
2;671.2048214385986;671.2048214385986;0.32049916362762454;0.32049916362762454
3;1127.509793081665;1127.509793081665;106.99829455566406;106.99829455566406
4;2429.944095370388;2429.944095370388;724.265296875;724.265296875
5;6011.494137841797;6011.494137841797;0.31786015701293946;0.31786015701293946
6;11637.062291417313;11637.062291417313;0.31097754728794097;0.31097754728794097
7;76064.77072825622;76064.77072825622;0.33257849276065826;0.33257849276065826
8;640821.9101383949;640821.9101383949;27769.753859375;27769.753859375
9;102399.71300559388;102399.71300559388;268888.7145;268888.7145
10;427261.64998125;427261.64998125;677472.233;677472.233
11;288645.1617238617;288645.1617238617;1018377.5815;1018377.5815
12;1255002.124275;1255002.124275;504913.4315;504913.4315
13;943308.56745;943308.56745;1241562.499;1241562.499
14;474253.70502836606;474253.70502836606;389621.96925;389621.96925
15;769657.4579;769657.4579;1138743.153;1138743.153
16;858397.448684375;858397.448684375;195148.59625;195148.59625
17;498377.67795;498377.67795;797632.2785;797632.2785
18;1091357.7702;1091357.7702;1386114.181;1386114.181
19;1676487.6862;1676487.6862;1967352.269;1967352.269
0;1364.2669241330861;1364.2669241330861;2.6801362380981444;2.6801362380981444
1;1240.6957083802938;1240.6957083802938;53.49044500732422;53.49044500732422
2;1687.8685641433715;1687.8685641433715;215.54828491210938;215.54828491210938
3;3359.866197938919;3359.866197938919;777.1131025390625;777.1131025390625
4;7078.0847294799805;7078.0847294799805;3782.185923828125;3782.185923828125
5;16152.370862120248;16152.370862120248;27216.924546875;27216.924546875
6;347592.11490246886;347592.11490246886;2191792.448;2191792.448
7;5009203.9256;5009203.9256;5348211.404;5348211.404
8;1238954.2780938472;1238954.2780938472;157.75022088623047;157.75022088623047
9;698619.0388232339;698619.0388232339;1051518.949;1051518.949
10;994087.3919230164;994087.3919230164;1274563.257;1274563.257
11;1450836.717;1450836.717;253888.24075;253888.24075
12;1147187.3399;1147187.3399;1473036.48;1473036.48
13;1078653.6672482055;1078653.6672482055;744150.54;744150.54
14;1113281.6025;1113281.6025;1460497.834;1460497.834
15;1775831.7142;1775831.7142;2075730.222;2075730.222
16;2377899.922;2377899.922;2681894.49;2681894.49
17;2864848.3936;2864848.3936;3153630.568;3153630.568
18;2906124.1531;2906124.1531;818160.3875;818160.3875
19;1125586.2108;1125586.2108;1712986.738;1712986.738
