epoch;loss;mean_squared_error;val_loss;val_mean_squared_error
0;425.5803441918373;425.5803441918373;26832073859792.895;26832073859792.895
1;1374.6916839419127;1374.6916839419127;2542895.562;2542895.562
2;4808.723382728338;4808.723382728338;119.18170916748046;119.18170916748046
3;6354.69912114541;6354.69912114541;5.92856713104248;5.92856713104248
4;4815.487895605469;4815.487895605469;14761.38828125;14761.38828125
5;11672.564223917008;11672.564223917008;10384.222;10384.222
6;41223.17768631412;41223.17768631412;5303.01442578125;5303.01442578125
7;27026.746246793096;27026.746246793096;90.15916870117188;90.15916870117188
0;270.52489962836506;270.52489962836506;8.607023151397705;8.607023151397705
1;414.3603818132043;414.3603818132043;0.8745904521942138;0.8745904521942138
2;758.8706289192199;758.8706289192199;0.255766133248806;0.255766133248806
3;1198.1851183432102;1198.1851183432102;0.2785297601222992;0.2785297601222992
4;3017.4492936480997;3017.4492936480997;283.5654287109375;283.5654287109375
5;6869.332644034338;6869.332644034338;24.67285259437561;24.67285259437561
6;4727.670298066473;4727.670298066473;12945.255796875;12945.255796875
7;8508.498693847656;8508.498693847656;2.094000873565674;2.094000873565674
8;13915.055109344483;13915.055109344483;1720.1761611328125;1720.1761611328125
9;56121.5806828125;56121.5806828125;92235.333125;92235.333125
10;29546.499237841035;29546.499237841035;632.2419223632812;632.2419223632812
11;25258.82077339935;25258.82077339935;42957.31953125;42957.31953125
12;42784.97811445312;42784.97811445312;48003.8273125;48003.8273125
13;33878.20426919937;33878.20426919937;4031.709091796875;4031.709091796875
14;33812.05615806275;33812.05615806275;6898.39127734375;6898.39127734375
15;58047.72818308105;58047.72818308105;14327.2777109375;14327.2777109375
16;61348.45388027344;61348.45388027344;3021.821208984375;3021.821208984375
17;64313.149573858645;64313.149573858645;5372.68222265625;5372.68222265625
18;85748.08694140625;85748.08694140625;19042.0978125;19042.0978125
19;130483.7177796875;130483.7177796875;348155.92225;348155.92225
