epoch;loss;mean_squared_error;val_loss;val_mean_squared_error
0;8445820057781.16;8445820057781.16;0.1117787236571312;0.1117787236571312
1;1.0873280106663703;1.0873280106663703;0.08402261504530907;0.08402261504530907
2;2672.283932472387;2672.283932472387;0.10219710257649421;0.10219710257649421
3;0.08726749286055564;0.08726749286055564;0.08787577718496323;0.08787577718496323
4;0.08639560914039612;0.08639560914039612;0.08401667222380638;0.08401667222380638
5;0.08693923981785774;0.08693923981785774;0.10236106470227241;0.10236106470227241
6;0.08565647896528245;0.08565647896528245;0.08430666467547417;0.08430666467547417
7;0.08480817486643791;0.08480817486643791;0.09027646663784981;0.09027646663784981
0;89636.39737670757;89636.39737670757;0.08507700911164284;0.08507700911164284
1;nan;nan;nan;nan
2;nan;nan;nan;nan
3;nan;nan;nan;nan
4;nan;nan;nan;nan
5;nan;nan;nan;nan
6;nan;nan;nan;nan
7;nan;nan;nan;nan
8;nan;nan;nan;nan
9;nan;nan;nan;nan
10;nan;nan;nan;nan
11;nan;nan;nan;nan
12;nan;nan;nan;nan
13;nan;nan;nan;nan
14;nan;nan;nan;nan
15;nan;nan;nan;nan
16;nan;nan;nan;nan
17;nan;nan;nan;nan
18;nan;nan;nan;nan
19;nan;nan;nan;nan
