epoch;loss;mean_squared_error;val_loss;val_mean_squared_error
0;1936.8923916115284;1936.8923916115284;118229495.232;118229495.232
1;4350.043566487122;4350.043566487122;2.1483558712005615;2.1483558712005615
2;20805.098987864683;20805.098987864683;15127.381078125;15127.381078125
3;228083.83059374389;228083.83059374389;14691.5764453125;14691.5764453125
4;122573.42320081787;122573.42320081787;65302.701125;65302.701125
0;870.2938902549744;870.2938902549744;1.943312134742737;1.943312134742737
1;1754.9535130921363;1754.9535130921363;1017043.5025;1017043.5025
2;8064.624219953537;8064.624219953537;227.127263671875;227.127263671875
3;17098.996395186634;17098.996395186634;12.613009170532226;12.613009170532226
4;23176.089749773408;23176.089749773408;1586.199591796875;1586.199591796875
5;33092.188974328616;33092.188974328616;468.3947197265625;468.3947197265625
6;22707.02629428711;22707.02629428711;46.98041427612305;46.98041427612305
7;29692.930082513143;29692.930082513143;2758.37214453125;2758.37214453125
8;40344.61521948173;40344.61521948173;2025.311376953125;2025.311376953125
9;61887.01648710937;61887.01648710937;354399.1935;354399.1935
10;525795.0666644011;525795.0666644011;70.08892553710938;70.08892553710938
11;879728.3386449276;879728.3386449276;8838.93098828125;8838.93098828125
12;360406.43638935394;360406.43638935394;31538.238609375;31538.238609375
13;248693.291321875;248693.291321875;29723.51040625;29723.51040625
14;436140.4833996094;436140.4833996094;28012.863546875;28012.863546875
15;536522.83259375;536522.83259375;924314.988;924314.988
16;871060.6951972656;871060.6951972656;89170.43775;89170.43775
17;646219.5321128296;646219.5321128296;1269942.085;1269942.085
18;652640.9805973045;652640.9805973045;364345.33675;364345.33675
19;691285.1061160156;691285.1061160156;229761.0705;229761.0705
