epoch;loss;mean_squared_error;val_loss;val_mean_squared_error
0;nan;nan;nan;nan
1;nan;nan;nan;nan
2;nan;nan;nan;nan
3;nan;nan;nan;nan
4;nan;nan;nan;nan
5;nan;nan;nan;nan
6;nan;nan;nan;nan
0;6862182.9133908665;6862182.9133908665;0.08484141781926155;0.08484141781926155
1;0.08688139664530754;0.08688139664530754;0.08780639147758484;0.08780639147758484
2;0.08516793673038482;0.08516793673038482;0.08397664892673493;0.08397664892673493
3;0.08449288111925125;0.08449288111925125;0.08450916737318039;0.08450916737318039
4;0.08406948302388191;0.08406948302388191;0.08665326350927353;0.08665326350927353
5;0.08430947492122651;0.08430947492122651;0.08465888196229934;0.08465888196229934
6;0.08404440122246742;0.08404440122246742;0.08427894386649132;0.08427894386649132
7;0.08377387381792069;0.08377387381792069;0.08396671202778816;0.08396671202778816
8;0.0839395786523819;0.0839395786523819;0.0846233285665512;0.0846233285665512
9;0.08386503541171551;0.08386503541171551;0.0840238946378231;0.0840238946378231
10;0.08396972768306732;0.08396972768306732;0.0842158696949482;0.0842158696949482
11;0.08385528846979141;0.08385528846979141;0.08506390395760537;0.08506390395760537
12;0.0836726183116436;0.0836726183116436;0.08395155829191207;0.08395155829191207
13;0.08378676725625991;0.08378676725625991;0.08539615815877914;0.08539615815877914
14;0.08374381259083748;0.08374381259083748;0.08491876417398453;0.08491876417398453
15;0.08356774151921273;0.08356774151921273;0.08529774805903435;0.08529774805903435
16;0.083632883477211;0.083632883477211;0.08478991878032684;0.08478991878032684
17;0.08347968324422836;0.08347968324422836;0.08395443639159203;0.08395443639159203
18;0.08367558455169201;0.08367558455169201;0.08533909699320794;0.08533909699320794
19;0.08350737305283547;0.08350737305283547;0.08516644811630249;0.08516644811630249
