epoch;acc;f1_m;loss;precision_m;recall_m;val_acc;val_f1_m;val_loss;val_precision_m;val_recall_m
0;0.9871666666666666;0.9871666564941406;0.04090051585826829;0.9871666666666666;0.9871666666666666;0.975625;0.9756249821186066;0.09628061124672968;0.975625;0.975625
1;0.9953333333333333;0.9953333289623261;0.014781488825878947;0.9953333333333333;0.9953333333333333;0.498125;0.4981249403953552;0.8932644367218018;0.498125;0.498125
2;0.9963333333333333;0.9963333301544189;0.01088044978159284;0.9963333333333333;0.9963333333333333;0.15875;0.15874994724988936;1.7612522292137145;0.15875;0.15875
3;0.9965;0.9964999970595042;0.01282830152718581;0.9965;0.9965;0.56375;0.5637499403953552;3.526216323375702;0.56375;0.56375
4;0.9976666666666667;0.9976666644414266;0.007417705955527405;0.9976666666666667;0.9976666666666667;0.9925;0.9924999928474426;0.024992991233812063;0.9925;0.9925
5;0.998;0.9979999981721243;0.006835443483750263;0.998;0.998;0.061875;0.06187496870756149;1.9230638015270234;0.061875;0.061875
6;0.99825;0.99824999833107;0.0049350291447095365;0.99825;0.99825;0.166875;0.1668749465048313;3.7684893679618834;0.166875;0.166875
7;0.998;0.9979999980926514;0.005625426938343348;0.998;0.998;0.4325;0.4324999403953552;2.4043294644355773;0.4325;0.4325
8;0.9994166666666666;0.9994166661103566;0.0017419616961838074;0.9994166666666666;0.9994166666666666;0.239375;0.23937494352459907;1.6320463520288468;0.239375;0.239375
9;0.9985833333333334;0.9985833320617675;0.004863437663004675;0.9985833333333334;0.9985833333333334;0.611875;0.6118749403953552;0.7118906849622726;0.611875;0.611875
10;0.9983333333333333;0.9983333317438762;0.0044522055345091755;0.9983333333333333;0.9983333333333333;0.659375;0.6593749403953553;0.8858930465579032;0.659375;0.659375
11;0.999;0.9989999990463256;0.0037587214107680325;0.999;0.999;0.24125;0.24124994173645972;1.5676711577177047;0.24125;0.24125
12;0.9996666666666667;0.9996666663487752;0.0010423261716342534;0.9996666666666667;0.9996666666666667;1.0;1.0;0.0005088716187682962;1.0;1.0
13;0.9998333333333334;0.9998333331743876;0.0003219746009920262;0.9998333333333334;0.9998333333333334;0.279375;0.2793749414384365;2.1427409160137176;0.279375;0.279375
14;0.9975833333333334;0.997583331267039;0.008191501621398744;0.9975833333333334;0.9975833333333334;0.72875;0.7287499409914017;0.5395784373581409;0.72875;0.72875
