epoch;acc;f1_m;loss;precision_m;recall_m;val_acc;val_f1_m;val_loss;val_precision_m;val_recall_m
0;0.9854166666666667;0.9854166550636292;0.038286431652941856;0.9854166666666667;0.9854166666666667;0.615;0.6149999403953552;1.3102096024155616;0.615;0.615
1;0.9944166666666666;0.9944166615804036;0.014629419180738599;0.9944166666666666;0.9944166666666666;0.96625;0.9662499737739563;0.23874634171104703;0.96625;0.96625
2;0.9958333333333333;0.9958333296775818;0.01194171187388838;0.9958333333333333;0.9958333333333333;0.909375;0.9093749523162842;0.7771118098483387;0.909375;0.909375
3;0.9971666666666666;0.9971666639645894;0.007575128690191226;0.9971666666666666;0.9971666666666666;0.598125;0.5981249403953552;5.142181015014648;0.598125;0.598125
4;0.99675;0.9967499972184499;0.00810073530195238;0.99675;0.99675;0.460625;0.46062494039535523;8.693697786331176;0.460625;0.460625
5;0.9979166666666667;0.9979166646798452;0.00588809843339061;0.9979166666666667;0.9979166666666667;0.435625;0.4356249403953552;9.096650114059448;0.435625;0.435625
6;0.9958333333333333;0.9958333296775818;0.013274466785035088;0.9958333333333333;0.9958333333333333;0.558125;0.5581249403953552;7.122183456420898;0.558125;0.558125
7;0.9983333333333333;0.9983333317438762;0.004282587213398301;0.9983333333333333;0.9983333333333333;0.54625;0.5462499403953552;7.313585829734802;0.54625;0.54625
8;0.9996666666666667;0.9996666663487752;0.0016198962189244905;0.9996666666666667;0.9996666666666667;0.8875;0.887499948143959;0.8253695050515318;0.8875;0.8875
9;1.0;1.0;3.6289208334456665e-05;1.0;1.0;0.995;0.9949999952316284;0.027905364536709384;0.995;0.995
10;1.0;1.0;1.10993457271699e-05;1.0;1.0;0.999375;0.9993749994039536;0.007977440267216309;0.999375;0.999375
11;1.0;1.0;7.5565990284000385e-06;1.0;1.0;0.99875;0.9987499988079072;0.005303606173422537;0.99875;0.99875
12;0.9974166666666666;0.9974166646798451;0.008236234331257095;0.9974166666666666;0.9974166666666666;0.569375;0.5693749403953552;6.940854845046997;0.569375;0.569375
13;0.99775;0.9977499979337057;0.006862490663239366;0.99775;0.99775;0.546875;0.5468749403953552;7.303511986732483;0.546875;0.546875
14;0.999;0.9989999990463256;0.0024640623265754585;0.999;0.999;0.555;0.5549999403953553;7.172552518844604;0.555;0.555
15;0.99825;0.99824999833107;0.005319877848808119;0.99825;0.99825;0.56875;0.5687499403953552;6.950928697586059;0.56875;0.56875
16;0.99925;0.9992499992847442;0.0024740057829085536;0.99925;0.99925;0.553125;0.5531249403953552;7.202773909568787;0.553125;0.553125
17;0.9994166666666666;0.9994166661103566;0.001666059344843499;0.9994166666666666;0.9994166666666666;0.555;0.5549999403953553;7.172552509307861;0.555;0.555
18;1.0;1.0;0.00016365345202397444;1.0;1.0;0.501875;0.5018749403953552;4.482910739183426;0.501875;0.501875
19;1.0;1.0;3.6086358141631084e-05;1.0;1.0;0.545625;0.5456249403953553;1.1980691948533058;0.545625;0.545625
