epoch;acc;f1_m;loss;precision_m;recall_m;val_acc;val_f1_m;val_loss;val_precision_m;val_recall_m
0;0.9750833333333333;0.9750833187103272;0.08068820933873455;0.9750833333333333;0.9750833333333333;0.554375;0.5543749403953552;3.322240977883339;0.554375;0.554375
1;0.9791666666666666;0.9791666523615519;0.07393335411591762;0.9791666666666666;0.9791666666666666;0.44625;0.44624994054436684;8.925395364761352;0.44625;0.44625
2;0.9933333333333333;0.9933333275318146;0.017459128400881582;0.9933333333333333;0.9933333333333333;0.441875;0.4418749405443668;8.972608089447021;0.441875;0.441875
3;0.9913333333333333;0.991333326180776;0.025201936945332782;0.9913333333333333;0.9913333333333333;0.4425;0.44249994039535523;8.985838198661805;0.4425;0.4425
4;0.9944166666666666;0.9944166616598765;0.016395836792046717;0.9944166666666666;0.9944166666666666;0.461875;0.4618749403953552;8.118725333213806;0.461875;0.461875
5;0.9961666666666666;0.9961666630109152;0.009464277244845144;0.9961666666666666;0.9961666666666666;0.7;0.6999999409914017;4.457710425276309;0.7;0.7
6;0.98925;0.9892499910990397;0.03430098345626133;0.98925;0.98925;0.565;0.5649999403953552;7.011371541023254;0.565;0.565
7;0.99325;0.9932499945163726;0.022983883112823626;0.99325;0.99325;0.92125;0.9212499558925629;1.2693000435829163;0.92125;0.92125
8;0.9935833333333334;0.9935833275318146;0.018098847216992793;0.9935833333333334;0.9935833333333334;0.449375;0.44937494039535525;8.875026307106019;0.449375;0.449375
9;0.9935833333333334;0.9935833280086517;0.022670259135771288;0.9935833333333334;0.9935833333333334;0.45;0.44999994039535524;8.864952478408814;0.45;0.45
10;0.98925;0.9892499910990397;0.027632196751567393;0.98925;0.98925;0.439375;0.43937494039535524;9.036207227706909;0.439375;0.439375
11;0.9939166666666667;0.9939166613419851;0.017830784472322364;0.9939166666666667;0.9939166666666667;0.444375;0.44437494039535524;8.955616822242737;0.444375;0.444375
12;0.9951666666666666;0.9951666622956594;0.01394163183506807;0.9951666666666666;0.9951666666666666;0.446875;0.44687494039535525;8.911701955795287;0.446875;0.446875
13;0.9973333333333333;0.9973333308696747;0.008337453649335297;0.9973333333333333;0.9973333333333333;0.4525;0.45249994039535524;8.824657301902771;0.4525;0.4525
