epoch;acc;f1_m;loss;precision_m;recall_m;val_acc;val_f1_m;val_loss;val_precision_m;val_recall_m
0;0.9980820547031354;0.9979986651409778;0.004484319099227952;0.9979986657771848;0.9979986657771848;0.68375;0.6837499403953552;4.634321547150612;0.68375;0.68375
1;0.9979138851802403;0.9979138835090821;0.00842573985824605;0.9979138851802403;0.9979138851802403;0.6570713390993684;0.6570712794947237;5.517064724756272;0.6570713390993684;0.6570713390993684
2;0.9997496662216289;0.9997496659828919;0.0011150343288351624;0.9997496662216289;0.9997496662216289;0.6475;0.6474999409914016;5.515100314276861;0.6475;0.6475
3;0.9992489986648865;0.9992489980282548;0.0030211398007371983;0.9992489986648865;0.9992489986648865;0.6689612016510754;0.6689611421210298;5.291241912318114;0.6689612016510754;0.6689612016510754
4;0.9984979973297731;0.9984979962156675;0.005010305894996081;0.9984979973297731;0.9984979973297731;0.676875;0.6768749409914017;5.210334447310888;0.676875;0.676875
5;0.9989986648865153;0.9989986641703047;0.00630133887510442;0.9989986648865153;0.9989986648865153;0.6739674592495561;0.6739673996449114;5.093952396784318;0.6739674592495561;0.6739674592495561
6;0.9999165554072096;0.9999165553276307;0.00012124444669009142;0.9999165554072096;0.9999165554072096;0.675625;0.6756249403953553;5.083394417762756;0.675625;0.675625
7;0.9998331108144193;0.9998331106552613;0.00046153584323640047;0.9998331108144193;0.9998331108144193;0.3153942428781034;0.315394183012362;10.54485366878581;0.3153942428781034;0.3153942428781034
0;0.9968312208138759;0.9964619247097425;0.009895316543779608;0.9968812542012566;0.9963308872581721;0.650625;0.6506249403953552;5.58935348033905;0.650625;0.650625
1;0.9994993324432577;0.9994993320055734;0.0024428241171685285;0.9994993324432577;0.9994993324432577;0.6852315395734785;0.6852314794466403;4.912810265943315;0.6852315395734785;0.6852315395734785
2;0.9970794392523364;0.9970794375413887;0.013615411805227403;0.9970794392523364;0.9970794392523364;0.67;0.6699999403953553;5.247581306695938;0.67;0.67
3;0.9986648865153538;0.9986648855604062;0.005205638519402275;0.9986648865153538;0.9986648865153538;0.6683354192740926;0.6683353596694478;5.318770642573007;0.6683354192740926;0.6683354192740926
