epoch;acc;f1_m;loss;precision_m;recall_m;val_acc;val_f1_m;val_loss;val_precision_m;val_recall_m
0;0.8814166666666666;0.8801758593916893;0.3336764465954232;0.8858551735083262;0.8755;0.92;0.9199999541044235;0.3655041953572072;0.92;0.92
1;0.9725;0.9724085819721222;0.08753287781125012;0.9732000000476837;0.9716666666666667;0.995625;0.9956249964237213;0.01963638131602238;0.995625;0.995625
2;0.9885833333333334;0.9887016034126281;0.03564944053466176;0.988827777783076;0.9885833333333334;0.98375;0.9840524047613144;0.06341268976292667;0.984375;0.98375
3;0.992;0.9919059069156647;0.026596101581542825;0.9920722222328187;0.99175;0.985625;0.9856249868869782;0.05700620295488079;0.985625;0.985625
4;0.983;0.9831075139045715;0.05789669212044464;0.9834000000158946;0.9828333333333333;0.945;0.9449999630451202;0.33466922809260724;0.945;0.945
5;0.9936666666666667;0.9937419300874074;0.02572599296396402;0.9939111111164093;0.9935833333333334;0.994375;0.9943749952316284;0.02619851502254278;0.994375;0.994375
6;0.9925;0.9925349398454031;0.025609018495080817;0.9926611111164093;0.9924166666666666;0.91125;0.9112297886610031;0.5525919707863067;0.911875;0.910625
7;0.9968333333333333;0.9968333303133646;0.012453288092844256;0.9968333333333333;0.9968333333333333;0.99875;0.9987499988079072;0.004463762310024322;0.99875;0.99875
8;0.9934166666666666;0.9932795643011729;0.02101892569004182;0.9934888888994853;0.9930833333333333;0.378125;0.37812494054436685;10.023440594673156;0.378125;0.378125
9;0.9889166666666667;0.9889935398896536;0.04227680743219753;0.9890793650945028;0.9889166666666667;0.99625;0.9962499964237214;0.012052810685859186;0.99625;0.99625
10;0.99875;0.9987499988079072;0.004790646651575912;0.99875;0.99875;0.99625;0.9962499964237214;0.016280479758804204;0.99625;0.99625
11;0.9903333333333333;0.9902822507222494;0.03932540730580627;0.9904944444497427;0.9900833333333333;0.996875;0.9968749970197678;0.007858138914148185;0.996875;0.996875
12;0.9959166666666667;0.9959569857120514;0.013927055925465007;0.996;0.9959166666666667;0.998125;0.9981249982118606;0.006065997305915119;0.998125;0.998125
13;0.9985833333333334;0.9985833320617675;0.005167815522895694;0.9985833333333334;0.9985833333333334;0.996875;0.9968749970197678;0.011916061062911466;0.996875;0.996875
14;0.9975;0.9974999976158142;0.008743503327558244;0.9975;0.9975;0.991875;0.9918749928474426;0.04338237954186198;0.991875;0.991875
15;0.9941666666666666;0.9942473062674204;0.02043065376186496;0.9943333333333333;0.9941666666666666;0.99875;0.9987499988079072;0.006729240188668512;0.99875;0.99875
16;0.99775;0.9977903205553691;0.008552935338307501;0.9978333333333333;0.99775;0.99875;0.9987499988079072;0.0031016890372006856;0.99875;0.99875
17;0.99925;0.9992903218269348;0.0030556831022471444;0.9993333333333333;0.99925;0.999375;0.9993749994039536;0.003557423842944871;0.999375;0.999375
18;0.9963333333333333;0.9963333303133647;0.01614744851676363;0.9963333333333333;0.9963333333333333;0.994375;0.994374994635582;0.02092770495306695;0.994375;0.994375
19;0.998;0.9979999980926514;0.0074525043216633925;0.998;0.998;1.0;1.0;0.001089694623633477;1.0;1.0
