epoch;acc;f1_m;loss;precision_m;recall_m;val_acc;val_f1_m;val_loss;val_precision_m;val_recall_m
0;0.58225;0.5822499403953553;0.6931007283131282;0.58225;0.58225;0.410625;0.41062494039535524;3.8334615302085875;0.410625;0.410625
1;0.63425;0.6342499404748281;0.6381611536741256;0.63425;0.63425;0.399375;0.3993749403953552;7.162370102405548;0.399375;0.399375
2;0.6574166666666666;0.6574166072209676;0.6145343990723292;0.6574166666666666;0.6574166666666666;0.396875;0.3968749403953552;2.1897223377227784;0.396875;0.396875
3;0.69175;0.6917499403953552;0.5843935915231705;0.69175;0.69175;0.38563327035891914;0.38563321105473886;2.2345141286585566;0.38563327035891914;0.38563327035891914
4;0.7180833333333333;0.7180832742055258;0.5486649490992228;0.7180833333333333;0.7180833333333333;0.4325;0.4324999403953552;1.3846160262823104;0.4325;0.4325
5;0.7591666666666667;0.7591666081746419;0.4956356866359711;0.7591666666666667;0.7591666666666667;0.405;0.40499994039535525;2.1100502693653107;0.405;0.405
6;0.7941666666666667;0.7941666084925334;0.4509011420806249;0.7941666666666667;0.7941666666666667;0.6042848141334608;0.6042847545851532;0.9658019158850696;0.6042848141334608;0.6042848141334608
7;0.8195833333333333;0.8195832763512929;0.41346231442689896;0.8195833333333333;0.8195833333333333;0.599375;0.5993749415874481;0.8634184481203556;0.599375;0.599375
8;0.8446666666666667;0.8446666116714477;0.3598191519379616;0.8446666666666667;0.8446666666666667;0.4225;0.4224999403953552;1.6255898839235305;0.4225;0.4225
9;0.8610833333333333;0.8610832797686259;0.3263727513750394;0.8610833333333333;0.8610833333333333;0.396875;0.3968749403953552;2.932690839767456;0.396875;0.396875
10;0.87575;0.8757499470710755;0.2999298136482636;0.87575;0.87575;0.40138626340882316;0.40138620386051543;3.1088895040558957;0.40138626340882316;0.40138626340882316
11;0.88625;0.8862499488989513;0.2811247390235464;0.88625;0.88625;0.424375;0.4243749403953552;2.341841906309128;0.424375;0.424375
12;0.8945833333333333;0.8945832839012146;0.26534105112651984;0.8945833333333333;0.8945833333333333;0.418125;0.41812494039535525;1.5344911938905716;0.418125;0.418125
13;0.9105833333333333;0.9105832873980204;0.2303932816286882;0.9105833333333333;0.9105833333333333;0.40579710146805437;0.4057970419197467;2.395667109312167;0.40579710146805437;0.40579710146805437
14;0.9154166666666667;0.9154166224797566;0.21838016586750747;0.9154166666666667;0.9154166666666667;0.549375;0.5493749403953552;1.1345832660794257;0.549375;0.549375
15;0.9173333333333333;0.9173332881132762;0.20689504078030585;0.9173333333333333;0.9173333333333333;0.39875;0.39874994099140165;2.4702996444702148;0.39875;0.39875
16;0.9243333333333333;0.9243332910537719;0.1957976854108274;0.9243333333333333;0.9243333333333333;0.416875;0.41687494054436686;1.7352190107107162;0.416875;0.416875
17;0.9348333333333333;0.9348332943916321;0.17000167048474152;0.9348333333333333;0.9348333333333333;0.483301827365975;0.4833017679678996;1.4198021941314198;0.483301827365975;0.483301827365975
18;0.9398333333333333;0.9398332951863607;0.1575193636243542;0.9398333333333333;0.9398333333333333;0.535;0.5349999403953553;1.1254484841227532;0.535;0.535
19;0.9411666666666667;0.941166629076004;0.15421651885503282;0.9411666666666667;0.9411666666666667;0.3975;0.39749994039535524;4.1796642637252805;0.3975;0.3975
